Symbol
CAMT
NVDA
PW
IAC
MTCH
MSCI
MELI
OAS
ENTG
ASML
UMC
LRCX
WMS
TER
VER
AAPL
ODFL
MPWR
WING
AUDC
KLAC
INTU
WST
MSFT
BX
SLP
POOL
MED
KOSS
WD
KKR
AMAT
TECH
EL
RILY
TGH
ARES
CHDN
SBLK
KEN
MORN
TMO
ZTS
RCII
LPLA
NICE
STM
TSM
PFSI
RACE
LOB
TPL
RICK
RMD
RFIL
APO
MCO
FSV
DHR
GFI
SIFY
CTRN
NVO
AVGO
IBN
LPX
CIGI
TAIT
CDW
DDS
ARCB
ENSG
NOA
DHI
CTAS
TTEK
EXPO
LLY
NXRT
NRG
CG
INFO
SHW
CCS
ABT
TRU
HEI-A
PKI
BRKR
WILC
XLNX
WSM
KAI
SBAC
RCKY
NEP
FICO
HEI
LOW
ACN
LOGI
INFY
GOGL
NYT
STE
KLIC
MA
DPZ
DE
VALE
A
ISDR
REXR
HLI
COST
NSP
HCA
IBP
PGR
KFRC
TWN
MGIC
GROW
AJG
MVBF
NSA
CHE
COKE
CSWI
NKE
MSI
PLD
SC
BRT
PWR
CNMD
NEE
ELP
ANTM
AMRK
ONEQ
TGT
ABR
IPAR
BYD
CSX
NDAQ
WIRE
UNH
EGP
STX
SB
HD
TTEC
FCX
IMOS
AVY
HASI
HDB
PHM
BRO
MUSA
SSD
TSCO
BCC
DG
FORTY
EXR
TRNO
FIX
IR
MSB
GRMN
LAD
HTHT
SCVL
FDS
JBL
AME
ASG
DOV
ANF
QCOM
WTS
IHC
GGG
BMI
SUI
CABO
TW
SSNC
KBH
MKSI
BR
GRP-UN
LEN-B
AMP
CNS
IRT
OLED
GF
GGB
MKTX
VRSK
V
TRI
BAM
AMT
EVTC
DSWL
MCHP
AB
TROW
NBN
TXN
FAST
NSC
MSEX
FSS
AWI
LEN
TPX
FSI
HPQ
NTAP
HLT
NTES
CHH
WWE
AZN
COHU
ALB
CRAI
MDC
AON
POWI
ALLY
VALU
FDBC
RUSHB
LND
FLOW
AWK
ETN
MMC
ROP
ROK
JLL
RIO
VRTS
IEX
KFY
ITT
AMSWA
RUSHA
NXST
WCN
APH
NEWT
SCI
BBY
MLAB
CP
ELS
BLK
CCI
UFPI
JOE
ICL
SID
CHN
OMF
MS
EXPD
JHX
BOOM
SPNS
ADP
ESI
ADI
ABBV
RSG
DRE
BF-A
FWRD
UNP
CMRE
MAA
ICE
PJT
CGNX
OPY
BAH
JOUT
EFX
MATX
ELY
BLL
GPI
GAIN
FCNCA
FR
ORCL
CF
COWN
AAON
WM
EQIX
CSQ
FELE
ECF
NXPI
CAT
AMOT
TEL
HCI
SFBS
FNV
XYL
COR
SSTK
SPXC
FMC
PAYX
GMRE
IDT
AGM
CHD
MCD
RHI
FNF
AWR
TX
PAC
SYK
COO
TOL
HUM
OMAB
FAF
CET
EOS
CHCT
PH
CUBE
SIMO
RM
NDSN
AXP
WGO
FSBC
TROX
BBL
FFIN
CFBK
SCCO
WSO
MPW
OFLX
ROLL
CSCO
BIP
MVO
APD
CSV
MTRN
EBAY
PRI
CPT
DRI
FRC
TGLS
ROL
YUM
GWW
AES
MGRC
CONE
CSL
CNHI
USA
OBCI
RJF
DKL
MSA
G
WSO-B
FBP
CPK
WAL
SCHW
WDFC
STAG
CE
APAM
CTG
MAS
CWT
SEM
STAR
SWKS
CMTL
SBUX
SBNY
IBKR
WMT
SAH
FRO
MC
BRG
CIG-C
MKC-V
HRZN
DLB
HEES
ARE
TIPT
AMKR
AA
PAG
RS
LNN
PFE
EVR
CHT
BAC
AGM-A
SUN
MKC
CME
DEO
LII
PVBC
AU
SF
CHW
PG
TPVG
EDUC
ITW
CSWC
DRD
AMH
CGO
SAFM
LMAT
CHY
TDF
CCOI
DAC
CRC
WSTG
NECB
BF-B
NEM
CBNK
TJX
GCV
EOI
MTN
DKS
ALLE
LSTR
TFX
RY-PT
VIRT
FSBW
BHP
CCK
CHI
AGCO
JBHT
SCHN
HIFS
FFA
BKE
LFUS
ETO
BAX
DUKH
GES
ASH
JPM-PD
OFG
GS-PC
SLG-PI
JPM
NWSA
ABB
CERN
JPM-PC
UMH
ECL
UPS
ETY
CII
MLM
BPOP
HON
WHF
CLM
LXFR
LGI
BCPC
MGA
BRBS
STFC
GLPI
CNI
MAR
GPN
CQP
NNI
IRM
HSY
JCI
WIT
GLO
AGM-PC
NUE
EBR
CRF
HMY
WINA
KGC
JKHY
GLQ
DLR
FBHS
GGT
PNR
GAB
AIN
ADX
WLTW
BME
FXNC
RPM
SB-PD
BTG
SAR
SB-PC
DGX
SIGI
RELX
HUBB
PLBC
TY
MIXT
ALRS
EVT
GTN
TU
TXRH
MTEX
LAMR
GLP
STC
ALG
AOD
RNP
SHOO
RY
GILT
LECO
PNC
RQI
ARCC
HUN
ICFI
PPG
RMT
RFI
TD
KWR
XEL
CTRE
BC
SNX
MNDO
AMOV
WEN
AEE
GAM
MANT
STLD
TTC
UDR
FFWM
GSL
TM
RVT
RBA
WEC
PTY
WRB
GNTX
ERIE
ES
AOS
CAE
IMKTA
GFED
PSA
AWP
OLP
OPBK
PCF
LDOS
OTTR
ASX
JBT
ATVI
ADC
PEP
EBR-B
CM
DVD
AVK
RYI
TKR
AFL
SJR
KNX
NRT
GTN-A
PAAS
CIG
MRTN
OC
SMG
CI
EMR
TSLX
AMX
LNT
BMO
FITB
BIF
CYD
SLM
SQM
RLI
HQL
IPG
ETR
OSK
PSB
FBC
NC
AIZ
HQH
WPC
EME
AIT
FBNC
MGPI
CMI
WLK
PMT
LKFN
EXC
ALL
VMI
TGA
SLF
PHI
IAF
AEL
AMGN
NOC
CPHC
VOYA
AIV
FNCB
FMAO
PCN
RGLD
CMS
WERN
HTGC
CIO
SAP
PKG
PFL
SNY
HMST
FUND
SFBC
FCPT
GOOD
EMN
GCBC
CLDB
PFN
CRH
PNC-PP
CC
CTO
ESLT
GBCI
RF
GLAD
STOR
USLM
GDV
GAM-PB
DFS
FSFG
FCO
PCM
WLKP
GS
MBT
FUL
